title,author,first_publish_year,rating
Words of Radiance,"Brandon Sanderson, Michael Kramer, Kate Reading",2012,4.452927
The Way of Kings,Brandon Sanderson,2010,4.4102364
The Hero of Ages,Brandon Sanderson,2008,4.393933
Percy Jackson's Greek Gods,Rick Riordan,2014,4.3623457
Dog Man,Dav Pilkey,2015,4.354558
The School for Good and Evil,"Soman Chainani, Blank, Michael",2007,4.351815
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,4.340431
The Sea of Monsters,Rick Riordan,2005,4.3369517
Oathbringer,Brandon Sanderson,2017,4.327263
Keeper of the Lost Cities (Keeper of the Lost Cities #1),Shannon Messenger,2012,4.3235455
The Mark of Athena,Rick Riordan,2011,4.3214946
The Silver Eyes (Five Nights At Freddy's #1),"Scott Cawthon, Kira Breed-Wrisley, Kira Breed-Wrisley, Kira Breed-Wrisley Scott Cawthon, Suzanne Elise Freeman, Kira Breed-Wrisley",2001,4.308399
Smile,Raina Telgemeier,2010,4.3040557
The Pigeon finds a hot dog!,"Mo Willems, Mo Willems",2004,4.285363
Dog Man,Dav Pilkey,1999,4.2819386
Cabin Fever,"Jeff Kinney, Il Castoro",2007,4.2790008
Bumi manusia,"Pramoedya Ananta Toer, Pramoedya Ananta Toer",1972,4.278301
Six of Crows,Leigh Bardugo,2001,4.2780614
The Martian,Andy Weir,2011,4.2747297
Nightfall (Keeper of the Lost Cities #6),Shannon Messenger,2017,4.273463
The Lord of the Rings,J.R.R. Tolkien,1954,4.271825
Amulet,Kazu Kibuishi,2008,4.262325
Project Hail Mary,Andy Weir,2021,4.2575574
The Titan's Curse,Rick Riordan,2007,4.2539144
The fellowship of the ring,J.R.R. Tolkien,1954,4.2483354
Ender's Game,Orson Scott Card,1985,4.2462277
Watchmen,"Alan Moore, Dave Gibbons, John Higgins",1987,4.2450676
Dog Days,"Carol Cox, Jeff Kinney",2004,4.2436395
Double Down,Jeff Kinney,2010,4.23755
Howl's Moving Castle (Howl's Moving Castle #1),Diana Wynne Jones,1986,4.237126
Maus I,Art Spiegelman,1986,4.235934
Matilda,Roald Dahl,1988,4.2346506
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,4.234534
The Last Olympian,Rick Riordan,2009,4.2333713
The Lost Hero,Rick Riordan,2010,4.228878
The Getaway,Jeff Kinney,2017,4.226475
Going Postal,Terry Pratchett,2004,4.22281
The Final Empire,Brandon Sanderson,2001,4.2226334
The Lightning Thief,Rick Riordan,2005,4.2210903
Dog Man Mothering Heights,Dav Pilkey,2021,4.217927
The Deep End,Jeff Kinney,2009,4.217766
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,4.216697
The Well of Ascension,Brandon Sanderson,2000,4.2164125
The Two Towers,J.R.R. Tolkien,1954,4.215834
A Storm of Swords,George R. R. Martin,2000,4.2148423
The Dark Prophecy,"Rick Riordan, Robbie Daymond",2017,4.212772
The Battle of the Labyrinth,Rick Riordan,2005,4.207073
Le petit prince,Antoine de Saint-Exupéry,1943,4.205502
Old School,"Jeff Kinney, Bastei Lubbe",1997,4.1984386
The Summer I Turned Pretty,Jenny Han,2000,4.1963773
Good Omens,"Neil Gaiman, Terry Pratchett",1990,4.1960692
Harry Potter and the Goblet of Fire,J. K. Rowling,1993,4.1933813
Rodrick Rules,Jeff Kinney,2008,4.191777
Wonder,R. J. Palacio,2001,4.191719
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,4.190069
The Throne of Fire,Rick Riordan,2011,4.189538
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,4.188073
Guards! Guards!,"Terry Pratchett, Laiqi Pu, Ben Aaranovitch",1989,4.184866
Season of Mists,"Neil Gaiman, Marc Hempel, Michael Zulli",1991,4.184647
A Thousand Splendid Suns,Khaled Hosseini,2007,4.180508
Dune,Frank Herbert,1965,4.178867
The Hobbit,J.R.R. Tolkien,1937,4.176245
Nineteen Eighty-Four,George Orwell,1949,4.176012
